"name","pos","tier","rank","adp","team","bye","floor","ceiling","source_rank","source_updated"
"Brandon Aubrey","K","1","181","181","DAL","14","8.0","11.0","1","2026-08-17"
"Cameron Dicker","K","1","182","183","LAC","7","8.0","11.0","2","2026-08-17"
"Ka'imi Fairbairn","K","1","183","182","HOU","8","8.0","11.0","3","2026-08-17"
"Cam Little","K","1","184","185","JAC","7","7.5","10.5","4","2026-08-17"
"Jason Myers","K","1","185","184","SEA","11","7.5","10.5","5","2026-08-17"
"Eddy Pineiro","K","2","186","189","SF","8","7.5","10.5","6","2026-08-17"
"Tyler Loop","K","2","187","187","BAL","13","7.5","10.5","7","2026-08-17"
"Evan McPherson","K","3","188","194","CIN","6","7.0","10.0","8","2026-08-17"
"Cairo Santos","K","3","189","197","CHI","10","7.0","10.0","9","2026-08-17"
"Jake Bates","K","3","190","188","DET","6","7.0","10.0","10","2026-08-17"
"Harrison Mevis","K","3","191","186","LAR","11","7.0","10.0","11","2026-08-17"
"Chase McLaughlin","K","3","192","195","TB","10","7.0","10.0","12","2026-08-17"
"Andy Borregales","K","3","193","196","NE","11","7.0","10.0","13","2026-08-17"
"Chris Boswell","K","4","194","193","PIT","9","7.0","10.0","14","2026-08-17"
"Harrison Butker","K","4","195","190","KC","5","7.0","10.0","15","2026-08-17"
"Wil Lutz","K","4","196","198","DEN","10","7.0","10.0","16","2026-08-17"
